BOROUGH,LATITUDE,LONGITUDE,NTA
MANHATTAN,40.739372,-73.984393,Gramercy
MANHATTAN,40.750646,-73.976641,Murray Hill-Kips Bay
MANHATTAN,40.705714,-74.005399,Battery Park City-Lower Manhattan
MANHATTAN,40.78842,-73.968806,Upper West Side
MANHATTAN,40.752335,-73.982416,Midtown-Midtown South
MANHATTAN,40.753334,-73.984541,Midtown-Midtown South
MANHATTAN,40.767236,-73.97996,Midtown-Midtown South
MANHATTAN,40.857137,-73.935751,Washington Heights North
MANHATTAN,40.764151,-73.978889,Midtown-Midtown South
MANHATTAN,40.756039,-73.990651,Midtown-Midtown South
MANHATTAN,40.76119,-73.971042,Turtle Bay-East Midtown
MANHATTAN,40.736644,-73.988944,Gramercy
MANHATTAN,40.764505,-73.979734,Midtown-Midtown South
MANHATTAN,40.783844,-73.952144,Upper East Side-Carnegie Hill
MANHATTAN,40.77928,-73.959134,Upper East Side-Carnegie Hill
MANHATTAN,40.727354,-73.995162,West Village
MANHATTAN,40.749171,-73.970333,Turtle Bay-East Midtown
MANHATTAN,40.777182,-73.976108,Lincoln Square
MANHATTAN,40.773279,-73.964925,Upper East Side-Carnegie Hill
MANHATTAN,40.772617,-73.962734,Upper East Side-Carnegie Hill
MANHATTAN,40.750875,-73.984462,Midtown-Midtown South
MANHATTAN,40.728369,-74.005361,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.745164,-73.992295,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.754952,-73.991442,Midtown-Midtown South
MANHATTAN,40.750639,-73.983899,Midtown-Midtown South
MANHATTAN,40.711453,-73.995661,Chinatown
