borough;numfloors;LAT;LONG;coordinates 
BX;7.0;40.8279625;-73.891172;40.8279625, -73.891172
BX;7.0;40.8423697;-73.891405;40.8423697, -73.891405
BX;8.0;40.8293056;-73.892243;40.8293056, -73.892243
BX;8.0;40.8298384;-73.892542;40.8298384, -73.892542
BX;7.0;40.8310049;-73.892569;40.8310049, -73.892569
BX;8.0;40.8237699;-73.892588;40.8237699, -73.892588
BX;10.0;40.8454398;-73.893012;40.8454398, -73.893012
QN;7.0;40.7455426;-73.893093;40.7455426, -73.893093
BX;8.0;40.857553;-73.893936;40.857553, -73.893936
BX;20.0;40.8430146;-73.894317;40.8430146, -73.894317
BX;7.0;40.8703025;-73.894317;40.8703025, -73.894317
BX;7.0;40.884671;-73.894352;40.884671, -73.894352
BX;7.0;40.8668608;-73.894478;40.8668608, -73.894478
QN;9.0;40.7404636;-73.894707;40.7404636, -73.894707
BX;8.0;40.8230508;-73.895653;40.8230508, -73.895653
QN;11.0;40.7454162;-73.895854;40.7454162, -73.895854
BX;10.0;40.8630965;-73.896053;40.8630965, -73.896053
BX;13.0;40.9034111;-73.896717;40.9034111, -73.896717
BX;7.0;40.8921565;-73.898297;40.8921565, -73.898297
BK;7.0;40.6494698;-73.898703;40.6494698, -73.898703
BX;11.0;40.8907766;-73.899008;40.8907766, -73.899008
BK;7.0;40.6637705;-73.899085;40.6637705, -73.899085
BX;11.0;40.8402223;-73.899345;40.8402223, -73.899345
BX;8.0;40.8209164;-73.899833;40.8209164, -73.899833
BX;8.0;40.9020554;-73.900058;40.9020554, -73.900058
BX;8.0;40.8533895;-73.900348;40.8533895, -73.900348
BX;7.0;40.8205108;-73.900596;40.8205108, -73.900596
BX;13.0;40.8508054;-73.902011;40.8508054, -73.902011
BK;11.0;40.6573833;-73.902205;40.6573833, -73.902205
BX;10.0;40.8668816;-73.902602;40.8668816, -73.902602
BK;10.0;40.6657251;-73.902647;40.6657251, -73.902647
BX;12.0;40.8563536;-73.903344;40.8563536, -73.903344
BX;14.0;40.8257227;-73.903356;40.8257227, -73.903356
BX;8.0;40.8493247;-73.903712;40.8493247, -73.903712
BX;7.0;40.8725123;-73.904087;40.8725123, -73.904087
BX;8.0;40.8494818;-73.904507;40.8494818, -73.904507
BX;12.0;40.829454;-73.904926;40.829454, -73.904926
BK;18.0;40.6698771;-73.904966;40.6698771, -73.904966
BX;11.0;40.853704;-73.905448;40.853704, -73.905448
BK;9.0;40.662009;-73.906419;40.662009, -73.906419
BX;11.0;40.8271964;-73.906436;40.8271964, -73.906436
QN;9.0;40.7394915;-73.906902;40.7394915, -73.906902
BX;8.0;40.8523796;-73.907091;40.8523796, -73.907091
BX;21.0;40.8348631;-73.907325;40.8348631, -73.907325
BK;9.0;40.6620263;-73.907439;40.6620263, -73.907439
BX;10.0;40.8283857;-73.907475;40.8283857, -73.907475
BX;9.0;40.8462594;-73.907714;40.8462594, -73.907714
BX;7.0;40.8314298;-73.907814;40.8314298, -73.907814
